HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196703], 6706.008823, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196703], 6707.142775, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196703], 6708.276726, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196703], 6709.410678, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6710.544629, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210945], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6711.678581, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6712.812532, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6713.946483, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6715.080435, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6716.214386, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6717.348338, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6718.482289, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6719.616241, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6720.750192, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6721.884144, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6723.018095, 725.790857
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6724.152047, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6725.285998, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6726.419949, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6727.553901, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6728.687852, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6729.821804, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6730.955755, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6732.089707, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6733.223658, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6734.357610, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6735.491561, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6736.625512, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6737.759464, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6738.893415, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6740.027367, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6741.161318, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6742.295270, 725.790858
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6743.429221, 725.790858
